21 81
-1.757420834330017e-02 -3.812109846145966e-02 0.000000000000000e+00
-1.821498539172231e-02 -3.716441947370789e-02 0.000000000000000e+00
-1.884802700219022e-02 -3.620171594765952e-02 0.000000000000000e+00
-1.947329057063094e-02 -3.523309279417600e-02 0.000000000000000e+00
-2.008982129163526e-02 -3.425811065990905e-02 0.000000000000000e+00
-2.069690624211893e-02 -3.327650010340402e-02 0.000000000000000e+00
-2.129502525545406e-02 -3.228870085881325e-02 0.000000000000000e+00
-2.188264927769677e-02 -3.129400445451337e-02 0.000000000000000e+00
-2.245972601354097e-02 -3.029256433225185e-02 0.000000000000000e+00
-2.302615356093956e-02 -2.928450978204242e-02 0.000000000000000e+00
-2.358003662275869e-02 -2.826903114555935e-02 0.000000000000000e+00
-2.412269578203811e-02 -2.724702945598715e-02 0.000000000000000e+00
-2.465113114439789e-02 -2.621721398449900e-02 0.000000000000000e+00
-2.516730363333462e-02 -2.518079319994414e-02 0.000000000000000e+00
-2.566786710084162e-02 -2.413642797865366e-02 0.000000000000000e+00
-2.615466229268278e-02 -2.308524860949908e-02 0.000000000000000e+00
-2.662482561871113e-02 -2.202626243510992e-02 0.000000000000000e+00
-2.707914173848198e-02 -2.096013280902442e-02 0.000000000000000e+00
-2.751636090196211e-02 -1.988665209489652e-02 0.000000000000000e+00
-2.793500193816451e-02 -1.880560977700038e-02 0.000000000000000e+00
-2.833567343496498e-02 -1.771760106554895e-02 0.000000000000000e+00
-2.871637388534617e-02 -1.662229368469778e-02 0.000000000000000e+00
-2.907636444379243e-02 -1.551988712420031e-02 0.000000000000000e+00
-2.941574908733693e-02 -1.441084910429684e-02 0.000000000000000e+00
-2.973346002089822e-02 -1.329529969699191e-02 0.000000000000000e+00
-3.002723103296344e-02 -1.217313524451719e-02 0.000000000000000e+00
-3.029785132526591e-02 -1.104510262409906e-02 0.000000000000000e+00
-3.054451573041860e-02 -9.911530077810428e-03 0.000000000000000e+00
-3.076645859640318e-02 -8.772799417309018e-03 0.000000000000000e+00
-3.096209029468806e-02 -7.629210856927983e-03 0.000000000000000e+00
-3.113117415505631e-02 -6.481371485528225e-03 0.000000000000000e+00
-3.127364819490112e-02 -5.329905113679570e-03 0.000000000000000e+00
-3.138902305642656e-02 -4.175386661264336e-03 0.000000000000000e+00
